county,apiNum,operator,lease,well,type,typeDate,status,statusDate,currentPermit,latitude,longitude,elevation,depth,year
Jackson                                 ,095-01337,ABERNATHY,FEE,2,Dry Hole                                                                        ,01jan1901,Abandoned                                                                       ,01jan1901,,38.94221,-94.54707999999999,973,705,1901
Cass                                    ,037-00321,ACME LIME CO.,ROCK CRUSHER,4,Dry Hole                                                                        ,01jan1901,Abandoned                                                                       ,01jan1901,,38.629351,-94.595827,961,389,1901
Jackson                                 ,095-00474,ACUFF CHEV. CO.,FEE,1,"Gas(Convertional, Commercial)                                                   ",01jan1901,Abandoned                                                                       ,01jan1901,,38.91791,-94.38554000000001,1052,311,1901
Jackson                                 ,095-01376,AMERICAN ASPHALT ROOF CO.,FEE,1,"Gas(Convertional, Commercial)                                                   ",01jan1901,Abandoned                                                                       ,01jan1901,,39.09406,-94.49319,749,483,1901
Jackson                                 ,095-01378,AMERICAN ASPHALT ROOF CO.,FEE,4,"Gas(Convertional, Commercial)                                                   ",01jan1901,Abandoned                                                                       ,01jan1901,,39.09783,-94.49294,742,430,1901
Reynolds                                ,179-00001,AMERICAN METAL CLIMAX,AMERICAN METAL CLIMAX,Test Hole 407,"Stratigraphic Test, None Oil/Gas Related(has geophysical log)                   ",01jan1901,"Abandoned, No evidence of existence/ Unable to find                             ",01jan1901,,37.2268,-91.0236,,,1901
Carroll                                 ,033-00019,"AMORY, W. R.",FEE,1,Stratigraphic Test                                                              ,15jun1901,Abandoned                                                                       ,15jun1901,,39.55905,-93.73309,900,1100,1901
Cass                                    ,037-00063,ARCHIE OIL & GAS,MCCOY,3,Oil                                                                             ,01jan1901,Abandoned                                                                       ,01jan1901,,38.4737,-94.37156,837,178,1901
Bates                                   ,013-00017,ARK. MO. POWER,TRACY,2,Oil                                                                             ,01jan1901,Abandoned                                                                       ,01jan1901,,38.24602,-94.52405,,,1901
Bates                                   ,013-00086,ARK. MO. POWER,TRACY,2,"Gas(Convertional, Commercial)                                                   ",01jan1901,Abandoned                                                                       ,01jan1901,,38.24602,-94.52405,,350,1901
Jackson                                 ,095-01706,"ARNOLD, O. G.",FEE,,Gas(Private Use)                                                                ,01jan1901,Abandoned                                                                       ,01jan1901,,38.91791,-94.38554000000001,,,1901
Vernon                                  ,217-21882,ASSURANCE INVESTMENT TRUST,MOSBACHER,CNF9-2,Oil                                                                             ,01jan1901,Plugged - Approved                                                              ,23oct1996,,37.97251,-94.60071000000001,,,1901
Vernon                                  ,217-21883,ASSURANCE INVESTMENT TRUST,MOSBACHER,1-87,Oil                                                                             ,01jan1901,Plugged - Approved                                                              ,23oct1996,,37.96579,-94.60516,,,1901
Vernon                                  ,217-21884,ASSURANCE INVESTMENT TRUST,MOSBACHER,2-87,Oil                                                                             ,01jan1901,Plugged - Approved                                                              ,23oct1996,,37.96579,-94.60516,,,1901
Vernon                                  ,217-21885,ASSURANCE INVESTMENT TRUST,MOSBACHER,9-87,Oil                                                                             ,01jan1901,Plugged - Approved                                                              ,23oct1996,,37.96579,-94.60516,,,1901
Vernon                                  ,217-21886,ASSURANCE INVESTMENT TRUST,MOSBACHER,M-100A,Oil                                                                             ,01jan1901,Plugged - Approved                                                              ,23oct1996,,37.96579,-94.60516,,,1901
Vernon                                  ,217-21887,ASSURANCE INVESTMENT TRUST,MOSBACHER,M101,Oil                                                                             ,01jan1901,Plugged - Approved                                                              ,23oct1996,,37.96579,-94.60516,,,1901
Vernon                                  ,217-21888,ASSURANCE INVESTMENT TRUST,MOSBACHER,M101A,Oil                                                                             ,01jan1901,Plugged - Approved                                                              ,23oct1996,,37.96579,-94.60516,,,1901
Vernon                                  ,217-21889,ASSURANCE INVESTMENT TRUST,MOSBACHER,SWDW,Oil                                                                             ,01jan1901,Plugged - Approved                                                              ,23oct1996,,37.96579,-94.60516,,,1901
Vernon                                  ,217-21890,ASSURANCE INVESTMENT TRUST,MOSBACHER,WS,Oil                                                                             ,01jan1901,Plugged - Approved                                                              ,23oct1996,,37.96579,-94.60516,,,1901
Vernon                                  ,217-21891,ASSURANCE INVESTMENT TRUST,KEITH,WSW,Oil                                                                             ,01jan1901,Plugged - Approved                                                              ,23oct1996,,37.98028,-94.60483000000001,,,1901
Vernon                                  ,217-21892,ASSURANCE INVESTMENT TRUST,KEITH,D1,Oil                                                                             ,01jan1901,Plugged - Approved                                                              ,23oct1996,,37.97661,-94.6057,,,1901
Vernon                                  ,217-21893,ASSURANCE INVESTMENT TRUST,KEITH,D2,Oil                                                                             ,01jan1901,Plugged - Approved                                                              ,23oct1996,,37.9766,-94.60638,,,1901
